11-07-2025  , 1       , 2    ,160.0
11-07-2025  , 10      , 4    ,300.0
11-07-2025  , 4       , 8    ,640.0
11-07-2025  , 10      , 4    ,300.0
11-07-2025  , 2       , 3    ,360.0
11-07-2025  , 2       , 1    ,120.0
11-07-2025  , 2       , 8    ,960.0
11-07-2025  , 10      , 8    ,600.0
11-07-2025  , 9       , 2    ,90.0
11-07-2025  , 4       , 5    ,400.0
11-07-2025  , 9       , 9    ,405.0
11-07-2025  , 1       , 1    ,80.0
11-07-2025  , 5       , 10   ,500.0
11-07-2025  , 4       , 2    ,160.0
11-07-2025  , 2       , 3    ,360.0
11-07-2025  , 2       , 1    ,120.0
11-07-2025  , 8       , 8    ,2560.0
11-07-2025  , 8       , 1    ,320.0
11-07-2025  , 10      , 10   ,750.0
11-07-2025  , 7       , 2    ,24.0
11-07-2025  , 5       , 6    ,300.0
11-07-2025  , 2       , 8    ,960.0
11-07-2025  , 10      , 9    ,675.0
11-07-2025  , 8       , 6    ,1920.0
11-07-2025  , 3       , 4    ,160.0
11-07-2025  , 9       , 1    ,45.0
11-07-2025  , 6       , 6    ,900.0
11-07-2025  , 7       , 5    ,60.0
11-07-2025  , 5       , 1    ,50.0
11-07-2025  , 6       , 10   ,1500.0
11-07-2025  , 8       , 5    ,1600.0
11-07-2025  , 3       , 3    ,120.0
11-07-2025  , 10      , 4    ,300.0
11-07-2025  , 3       , 3    ,120.0
11-07-2025  , 6       , 7    ,1050.0
11-07-2025  , 8       , 4    ,1280.0
11-07-2025  , 4       , 2    ,160.0
11-07-2025  , 7       , 5    ,60.0
11-07-2025  , 8       , 2    ,640.0
11-07-2025  , 8       , 6    ,1920.0
11-07-2025  , 3       , 6    ,240.0
11-07-2025  , 3       , 10   ,400.0
11-07-2025  , 8       , 5    ,1600.0
11-07-2025  , 5       , 8    ,400.0
11-07-2025  , 3       , 1    ,40.0
11-07-2025  , 9       , 1    ,45.0
11-07-2025  , 6       , 7    ,1050.0
11-07-2025  , 10      , 3    ,225.0
11-07-2025  , 10      , 4    ,300.0
11-07-2025  , 3       , 7    ,280.0
11-07-2025  , 6       , 5    ,750.0
11-07-2025  , 8       , 1    ,320.0
11-07-2025  , 2       , 9    ,1080.0
11-07-2025  , 7       , 7    ,84.0
11-07-2025  , 6       , 8    ,1200.0
11-07-2025  , 1       , 9    ,720.0
11-07-2025  , 8       , 1    ,320.0
11-07-2025  , 7       , 5    ,60.0
11-07-2025  , 6       , 3    ,450.0
11-07-2025  , 5       , 7    ,350.0
11-07-2025  , 3       , 9    ,360.0
11-07-2025  , 3       , 5    ,200.0
11-07-2025  , 10      , 1    ,75.0
11-07-2025  , 2       , 8    ,960.0
11-07-2025  , 8       , 1    ,320.0
11-07-2025  , 8       , 1    ,320.0
11-07-2025  , 7       , 4    ,48.0
11-07-2025  , 3       , 1    ,40.0
11-07-2025  , 1       , 7    ,560.0
11-07-2025  , 3       , 7    ,280.0
11-07-2025  , 1       , 7    ,560.0
11-07-2025  , 6       , 1    ,150.0
11-07-2025  , 1       , 10   ,800.0
11-07-2025  , 7       , 1    ,12.0
11-07-2025  , 7       , 4    ,48.0
11-07-2025  , 4       , 3    ,240.0
11-07-2025  , 10      , 5    ,375.0
11-07-2025  , 9       , 1    ,45.0
11-07-2025  , 10      , 7    ,525.0
11-07-2025  , 1       , 7    ,560.0
11-07-2025  , 7       , 3    ,36.0
